"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"172",19,36,26,12,19,19,19,18,19,18,11,14,18,6,19
"173",19,37,24,11,19,19,18,18,18,19,11,11,19,12,18
"174",18,34,22,10,18,21,19,18,18,19,9,18,19,7,18
"175",18,35,21,10,17,22,18,19,19,19,11,14,18,10,18
"176",18,38,22,10,18,19,18,18,19,18,10,13,18,10,19
"177",19,33,23,11,18,21,19,18,19,18,9,17,18,11,19
"178",18,41,24,10,18,22,18,19,19,19,11,17,18,9,18
"179",19,37,29,11,18,22,18,18,18,18,7,11,19,12,18
"180",18,36,28,12,19,20,19,18,19,18,10,16,18,11,18
"181",19,38,24,12,18,20,18,18,18,18,10,17,18,12,19
"182",18,39,23,11,18,21,18,18,18,18,8,19,19,10,19
"183",19,39,28,11,18,23,18,18,18,19,11,11,19,14,18
"184",18,36,24,12,18,21,18,18,18,18,11,12,18,9,18
"185",18,37,23,11,18,22,18,19,18,19,9,16,18,14,18
"186",18,37,27,11,18,22,17,19,18,18,11,11,18,8,18
"187",18,32,28,12,19,21,18,19,18,18,11,13,18,13,18
"188",18,35,25,11,19,19,19,18,19,19,11,14,18,10,18
"189",19,37,22,12,18,18,18,18,19,18,10,18,18,9,19
"190",19,35,26,12,18,22,18,18,19,18,10,23,18,9,18
"191",19,36,25,11,18,23,18,19,18,18,11,17,19,13,19
"192",18,37,24,11,17,21,18,19,18,18,8,18,18,8,19
"193",20,35,25,10,18,20,19,19,18,19,11,12,19,6,18
"194",18,35,27,12,18,21,19,19,19,19,10,15,18,9,18
"195",18,35,23,11,18,19,19,17,19,18,10,17,19,13,18
"196",18,34,24,12,18,21,18,18,18,18,10,17,19,7,18
"197",18,36,24,11,19,21,17,18,18,19,11,15,18,11,18
"198",18,36,20,10,18,20,18,18,18,18,12,15,19,9,19
"199",18,35,27,11,19,21,19,19,19,19,11,17,18,16,18
"200",19,33,24,10,18,21,18,19,18,18,10,15,19,7,19
"201",18,38,24,10,18,21,18,18,18,18,11,18,18,15,18
"202",19,35,24,10,18,21,18,18,17,19,11,16,18,9,18
"203",19,40,27,10,18,21,19,18,18,18,9,16,18,9,19
"204",18,38,26,11,18,23,18,20,18,18,10,16,18,12,18
"205",18,36,25,13,18,19,19,18,18,18,7,10,19,12,18
"206",19,35,21,11,18,20,19,18,18,18,8,16,18,8,19
"207",18,35,22,10,19,20,18,19,18,19,7,22,19,12,18
"208",19,36,25,13,19,19,18,19,18,18,8,21,19,9,18
"209",18,37,25,12,18,21,17,18,18,18,10,13,19,9,18
"210",19,37,22,10,18,19,17,19,19,19,11,16,18,11,18
"211",19,35,24,12,18,20,18,18,18,19,8,15,19,11,19
"212",19,39,26,9,18,20,18,18,19,18,10,15,18,12,18
"213",19,38,23,12,18,22,18,18,18,18,9,16,17,17,19
"214",18,33,23,12,19,20,18,18,19,19,10,18,18,13,19
"215",18,39,22,11,18,21,18,19,18,17,11,17,18,10,18
"216",18,34,24,10,18,20,19,18,18,18,11,20,18,12,18
"217",18,35,23,12,18,19,17,18,18,18,12,8,18,8,18
"218",19,35,24,11,18,19,19,18,18,18,8,16,18,9,18
"219",19,36,24,12,18,21,18,18,18,18,12,14,18,10,18
"220",18,33,24,10,18,23,18,19,19,18,11,15,19,10,19
"221",19,34,28,11,19,20,18,18,19,18,10,13,18,10,18
"222",18,35,21,11,18,22,19,18,17,18,10,9,18,10,18
"223",18,38,22,11,19,21,18,18,18,19,11,19,18,8,18
"224",18,36,18,13,18,21,18,18,19,17,9,14,18,7,19
"225",18,36,23,12,19,21,19,18,18,18,11,12,18,7,19
"226",18,36,26,10,18,22,18,18,18,18,11,19,18,16,18
"227",19,38,23,12,18,21,18,19,19,19,10,15,18,8,18
"228",18,37,25,13,18,21,18,18,18,18,9,16,18,13,19
"229",18,38,24,10,18,21,18,18,18,18,10,17,18,11,18
"230",18,35,26,11,19,21,18,18,18,19,13,19,18,10,18
"231",18,38,21,11,19,20,18,18,18,19,8,15,18,9,18
"232",18,37,21,12,19,21,19,19,19,18,10,15,19,11,18
"233",18,37,28,10,18,20,18,18,18,18,9,14,19,5,18
"234",18,38,24,12,19,21,18,18,17,18,8,14,18,12,19
"235",19,35,22,11,19,22,18,18,18,19,10,15,19,9,18
"236",18,38,26,10,18,22,19,18,18,18,8,18,18,13,18
"237",19,36,23,11,19,20,19,18,18,18,10,21,18,8,18
"238",19,38,29,12,19,21,18,19,18,18,10,22,18,12,19
"239",18,38,28,12,19,18,18,19,18,18,10,13,18,18,18
"240",19,35,23,10,18,21,19,18,19,19,10,20,17,10,18
"241",19,40,23,12,18,19,19,18,18,18,7,11,18,10,18
"242",18,37,26,11,19,21,18,18,18,18,12,17,18,8,18
"243",19,35,25,10,19,22,19,19,19,18,11,11,18,8,19
"244",18,34,23,9,18,20,19,18,18,18,11,15,18,18,18
"245",19,39,21,11,18,20,18,18,19,19,9,16,19,14,19
"246",18,37,24,11,17,20,18,19,19,19,7,17,18,13,18
"247",18,40,26,12,19,19,19,18,19,18,13,16,17,18,18
"248",19,37,29,10,18,21,18,18,18,19,10,13,18,12,17
"249",19,35,27,10,18,21,19,19,17,19,9,12,18,6,18
"250",18,37,25,10,18,21,19,18,18,19,10,17,18,14,18
"251",18,39,26,12,18,21,19,18,18,18,10,10,18,14,19
"252",18,37,23,11,19,21,18,19,18,18,10,18,19,10,19
"253",18,38,24,12,18,22,19,18,19,19,8,17,19,16,18
"254",18,36,26,10,18,20,18,19,19,18,9,17,18,8,18
"255",18,35,22,12,18,20,19,18,19,18,8,17,17,10,18
"256",19,36,26,13,18,21,18,18,19,18,12,22,18,9,18
"257",18,33,22,12,19,21,19,18,19,18,11,15,19,11,18
"258",19,36,23,12,19,23,18,19,19,18,12,16,18,12,18
"259",18,34,23,11,19,19,19,19,19,19,9,18,17,18,18
"260",19,39,23,12,19,20,18,18,18,19,12,16,18,14,19
"261",18,36,26,9,17,23,18,18,18,18,11,18,19,9,18
"262",18,40,26,12,18,21,18,18,19,18,10,17,17,10,19
"263",18,35,25,11,19,21,19,19,19,19,11,14,18,9,18
"264",19,35,21,11,18,20,19,18,18,18,10,17,18,8,18
"265",19,39,29,11,18,23,18,17,19,18,10,12,18,15,18
"266",18,32,22,13,19,21,19,18,18,18,12,13,19,9,18
"267",19,32,27,11,18,21,19,19,18,19,10,12,18,10,18
"268",18,38,22,11,17,21,18,18,19,19,12,13,18,15,19
"269",18,37,21,11,18,20,19,19,18,18,7,15,19,14,18
"270",19,36,22,10,18,22,19,18,19,19,11,15,18,5,18
"271",18,35,21,12,17,18,18,18,18,18,11,12,18,15,18
"272",18,35,20,11,19,21,18,18,18,19,11,18,18,8,18
"273",19,37,24,13,19,22,18,18,18,18,12,15,18,7,18
"274",18,37,25,11,18,20,18,18,18,18,14,12,18,10,17
"275",18,36,22,10,19,23,18,19,18,19,8,18,18,10,17
"276",19,40,21,12,18,21,19,19,18,19,10,22,19,11,18
"277",19,33,24,11,19,21,18,18,17,18,10,17,19,8,18
"278",18,37,24,12,18,22,18,18,19,19,7,15,18,10,18
"279",18,35,27,11,18,21,18,19,18,18,9,15,18,9,18
"280",19,39,31,11,17,21,19,19,19,19,11,22,18,8,19
"281",19,35,25,10,18,21,18,18,18,18,12,18,18,10,18
"282",18,35,25,10,19,21,18,18,18,19,9,13,17,8,18
"283",19,37,24,11,18,22,18,19,18,19,12,18,17,12,18
"284",18,37,31,10,19,22,18,18,18,19,11,18,19,13,19
"285",19,34,25,10,18,22,18,19,18,18,12,18,18,13,19
"286",19,38,20,11,18,21,18,19,18,19,10,17,19,13,18
"287",18,33,29,10,19,19,18,19,18,18,13,17,18,13,18
"288",19,37,21,11,19,18,19,18,19,19,11,18,19,16,18
"289",18,38,25,13,18,22,18,18,18,19,11,12,19,17,19
"290",18,35,23,10,18,20,18,18,18,19,11,13,18,11,19
"291",19,38,24,11,18,19,18,18,18,18,11,10,18,7,18
"292",18,35,23,11,18,21,18,18,18,18,17,15,19,12,18
"293",19,33,27,11,18,18,19,18,18,18,9,13,18,9,18
"294",18,35,26,11,19,21,18,18,17,18,10,12,19,8,18
"295",18,35,23,11,18,21,18,18,18,18,9,10,19,9,18
"296",18,35,25,11,18,22,19,18,18,18,12,17,18,8,18
"297",18,37,23,11,18,19,18,18,19,18,9,11,18,7,18
"298",19,38,24,10,18,19,18,18,19,18,8,14,18,12,18
"299",18,36,24,10,19,22,18,19,18,18,9,14,19,10,18
"300",18,39,25,11,18,22,18,19,19,18,12,13,17,9,18
"301",19,37,24,10,19,19,18,18,19,18,13,19,18,10,19
"302",18,35,23,10,18,21,19,19,18,18,7,13,18,11,18
"303",19,34,26,12,18,19,19,19,18,19,8,15,19,13,18
"304",19,36,19,10,18,19,18,18,18,18,10,17,18,15,19
"305",18,37,20,10,18,23,18,18,18,18,9,17,18,12,18
"306",19,33,21,11,19,21,18,18,18,19,12,12,18,10,18
"307",18,37,28,10,18,21,18,19,18,18,10,13,18,13,19
"308",18,38,27,10,18,19,18,19,19,18,9,15,18,10,19
"309",18,37,23,11,19,22,18,17,18,18,10,9,19,10,18
"310",18,36,20,10,19,22,19,18,17,18,11,17,19,15,19
"311",18,36,26,9,18,22,18,19,18,18,11,15,19,11,18
"312",19,38,22,12,18,21,19,19,18,19,11,17,18,12,18
"313",18,36,30,10,18,20,19,18,19,18,8,19,18,12,19
"314",18,37,23,10,17,21,18,18,19,19,8,14,19,12,18
"315",19,37,25,11,18,21,19,19,18,17,9,13,18,11,19
"316",18,36,24,11,19,18,19,18,19,19,9,23,18,18,19
"317",19,34,24,10,18,22,18,19,18,18,9,18,18,11,18
"318",18,37,25,12,18,20,18,18,18,18,10,18,19,8,19
"319",18,35,29,12,19,20,18,19,18,18,13,16,19,6,18
"320",18,38,29,9,18,19,19,18,19,19,15,17,17,7,18
"321",18,37,24,10,18,20,18,19,18,19,9,16,18,11,18
"322",18,37,22,12,18,18,18,18,18,19,10,16,18,14,18
"323",19,35,27,13,18,22,18,18,18,19,10,15,18,13,18
"324",18,35,21,13,19,21,19,18,19,18,12,26,18,9,18
"325",18,35,23,10,18,23,18,18,18,18,12,11,19,9,19
"326",19,37,22,12,19,19,18,17,19,18,12,15,18,10,18
"327",19,38,22,9,19,20,19,18,19,18,10,20,19,8,18
"328",19,34,21,10,19,22,18,19,18,19,10,16,18,9,18
"329",19,35,26,12,18,18,18,19,18,18,12,15,19,13,18
"330",18,38,21,10,19,21,18,18,19,18,9,18,18,11,18
"331",18,37,25,12,18,20,19,19,18,18,9,14,19,7,18
"332",19,36,23,12,18,21,18,19,18,19,11,14,19,14,19
"333",18,35,23,11,19,22,19,19,18,19,9,10,18,7,18
"334",18,39,26,12,19,20,18,19,18,18,8,22,18,11,18
"335",19,36,21,11,18,20,19,19,18,18,12,15,19,12,18
"336",19,38,21,10,19,19,18,18,18,19,10,13,18,6,18
"337",18,38,21,11,18,20,19,19,18,19,16,12,18,5,18
"338",18,38,22,11,18,19,18,18,18,18,12,22,18,17,18
"339",18,35,22,12,18,21,18,19,18,18,10,14,18,6,18
"340",18,38,28,12,19,22,18,18,19,18,12,12,19,6,18
"341",19,39,27,11,18,23,18,18,18,19,13,18,19,8,19
"342",19,37,24,10,18,20,18,18,18,18,11,14,18,13,19
"343",19,35,27,11,18,22,18,17,18,18,9,14,18,6,18
"344",18,35,25,11,18,20,19,18,18,19,10,12,18,8,18
"345",18,31,23,9,18,21,19,19,18,19,11,11,18,10,19
"346",18,38,24,10,19,21,18,18,19,18,10,12,18,11,19
"347",18,38,20,11,18,21,18,18,19,19,10,21,18,12,18
"348",18,38,22,10,18,21,18,18,18,18,11,14,19,9,18
"349",18,35,24,11,18,20,18,18,17,18,10,13,18,10,19
"350",17,34,25,9,18,19,18,19,18,19,8,14,18,21,18
"351",18,36,26,11,19,20,19,19,18,18,12,19,19,11,18
"352",19,37,27,13,19,22,18,18,19,19,11,15,18,11,19
"353",19,33,20,12,18,19,18,18,18,18,10,20,19,8,19
"354",18,37,23,11,18,19,18,18,18,18,10,18,19,14,18
"355",19,41,26,11,19,17,18,18,18,18,11,16,19,9,19
"356",19,40,25,11,18,21,18,19,19,19,9,15,18,8,18
"357",19,37,26,11,19,20,18,19,18,18,8,12,19,12,19
"358",17,39,23,10,18,22,18,18,18,19,9,13,19,9,18
