"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"332",117,35,42,51,49,38,60,51,59,66,47,45,55,29,81
"333",111,41,53,59,48,42,55,54,55,49,52,42,64,30,76
"334",111,38,52,48,51,36,66,55,51,46,45,39,61,28,69
"335",111,45,49,45,60,38,50,63,54,55,66,39,51,35,79
"336",122,36,61,56,57,37,57,69,51,67,52,40,54,39,75
"337",114,38,65,54,49,40,57,48,53,58,41,41,64,42,66
"338",116,49,52,56,47,41,47,55,51,48,47,42,56,24,77
"339",116,40,45,56,54,34,50,65,63,58,48,36,53,58,77
"340",116,32,55,50,59,36,63,58,68,50,40,37,52,38,80
"341",112,36,57,53,56,42,47,53,67,57,44,38,60,43,78
"342",115,43,51,64,57,48,55,63,64,54,55,34,48,37,74
"343",114,44,55,52,54,40,64,51,62,59,47,34,61,37,72
"344",113,42,52,52,55,40,54,52,50,53,63,46,58,41,78
"345",114,52,50,55,64,48,54,65,56,50,58,37,53,55,79
"346",109,48,57,53,50,36,55,63,55,51,47,26,52,33,77
"347",113,32,47,44,52,45,63,57,55,61,39,40,43,60,77
"348",106,36,56,56,57,42,52,49,69,46,60,43,57,36,75
"349",115,45,54,49,58,36,55,54,55,65,57,40,53,61,76
"350",113,33,47,54,50,37,50,55,55,58,45,37,60,36,80
"351",111,45,54,54,60,38,52,52,57,55,49,37,61,42,73
"352",114,39,60,56,60,42,51,52,52,54,50,38,64,34,73
"353",104,35,56,52,61,33,52,61,44,61,61,39,51,42,75
"354",108,34,54,58,63,40,56,59,54,59,46,24,58,46,75
"355",115,44,60,47,52,42,59,64,57,57,55,44,51,44,74
"356",112,40,54,54,68,44,57,71,58,53,56,39,53,39,80
"357",117,44,52,64,65,30,52,58,60,60,42,39,54,32,75
"358",105,43,49,45,66,40,51,66,58,55,46,46,63,33,77
"359",105,46,56,62,58,45,54,54,60,46,56,41,50,38,75
"360",107,36,44,49,56,30,56,42,53,58,47,47,62,54,75
"361",113,46,55,63,54,41,56,57,51,44,51,48,60,53,76
"362",111,43,47,53,61,38,51,59,59,50,45,33,51,45,74
"363",110,53,51,56,47,39,49,52,51,56,52,44,61,46,76
"364",121,42,52,50,51,30,54,54,55,43,42,40,50,33,78
"365",115,47,59,66,60,34,60,57,57,57,58,49,59,31,74
"366",114,43,60,52,57,42,49,51,51,51,49,46,51,43,73
"367",110,43,53,53,53,39,65,51,53,58,30,43,57,52,76
"368",101,32,55,60,52,50,49,52,62,51,43,42,56,28,74
"369",115,48,58,66,68,42,59,52,52,51,46,40,64,37,77
"370",109,37,51,66,56,44,68,61,55,73,42,32,49,30,78
"371",108,39,52,52,61,38,56,48,51,49,39,44,61,30,71
"372",115,31,59,54,60,46,56,65,51,64,42,29,50,40,74
