"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"197",76,58,80,46,56,72,56,2,81,44,65,59,28,59,45
"198",53,48,65,39,57,82,61,19,62,55,55,61,33,84,67
"199",60,56,74,49,56,93,56,5,64,46,80,63,36,74,44
"200",68,47,86,48,54,64,53,7,44,52,83,55,52,75,52
"201",64,42,83,50,60,85,51,9,58,63,73,54,47,67,54
"202",67,70,76,53,52,77,56,8,56,42,74,60,30,77,51
"203",49,54,78,33,58,87,53,3,68,73,76,67,29,81,48
"204",82,56,68,43,52,79,59,15,59,56,55,69,43,64,46
"205",61,60,72,42,55,69,54,4,63,28,63,57,43,78,47
"206",86,56,70,33,53,79,58,6,53,50,86,57,34,71,58
"207",63,64,71,42,60,88,52,8,59,49,54,68,26,67,56
"208",62,68,87,37,55,75,52,15,65,52,61,59,16,78,57
"209",73,53,73,40,58,79,59,12,55,60,56,63,21,72,46
"210",65,52,78,34,54,78,57,24,57,67,89,44,42,66,64
"211",59,57,75,50,46,63,48,10,59,32,55,56,28,75,50
"212",58,60,76,39,49,67,57,12,64,40,67,71,14,76,62
"213",74,52,90,49,65,80,51,11,56,49,67,68,36,73,45
"214",77,53,89,41,58,79,61,14,66,42,64,55,36,69,45
"215",53,64,82,50,58,79,58,12,51,37,57,57,16,69,46
"216",54,58,79,61,65,80,67,22,70,45,68,58,26,69,55
"217",71,52,82,44,64,88,65,3,52,42,63,56,36,66,52
"218",62,49,72,52,53,69,53,4,60,46,57,54,30,72,61
"219",61,54,70,43,62,79,55,10,71,63,75,61,14,69,55
"220",63,56,84,48,63,91,57,11,58,39,80,57,22,71,58
"221",71,58,70,47,60,82,58,8,58,48,78,57,24,70,54
"222",63,50,70,51,56,63,48,9,58,51,63,58,22,66,52
"223",73,61,76,47,54,68,57,28,68,40,67,56,38,67,48
"224",66,58,90,44,61,84,63,18,42,44,55,52,23,68,47
"225",63,60,81,45,61,76,52,15,55,30,60,61,27,71,58
"226",79,49,83,39,66,67,51,23,47,36,82,78,23,81,49
"227",68,63,75,42,55,71,57,11,66,73,60,52,41,76,52
"228",84,50,77,47,56,54,59,12,75,61,72,70,35,71,58
"229",48,51,77,46,54,89,53,6,43,54,59,62,44,85,46
"230",89,59,64,51,47,76,50,6,52,56,59,64,33,87,55
"231",53,53,71,48,51,75,45,15,61,30,64,63,31,70,43
"232",61,57,81,50,60,85,58,5,68,52,79,61,49,70,52
"233",81,62,73,45,53,80,56,10,58,47,58,64,21,84,51
"234",79,55,68,45,52,87,53,4,61,22,68,57,25,85,64
"235",71,54,78,53,62,70,49,13,55,53,59,65,33,74,53
"236",73,51,73,44,55,74,42,17,66,75,62,65,36,58,53
"237",59,56,79,52,57,56,57,14,52,34,56,60,16,53,47
"238",77,52,78,52,55,93,56,10,60,41,77,64,31,79,50
"239",74,55,67,51,65,78,51,11,59,49,63,63,39,75,49
"240",81,61,76,53,48,71,49,17,53,48,67,58,24,81,56
"241",56,63,71,50,60,91,61,18,64,49,69,56,31,63,53
"242",66,50,79,48,54,71,54,11,60,60,60,69,25,78,45
"243",53,62,71,52,53,76,46,3,66,45,69,59,41,73,54
"244",73,55,73,33,59,68,55,24,69,26,63,62,26,69,52
"245",67,43,71,47,58,69,49,10,58,48,59,64,26,63,46
"246",72,43,77,49,51,100,52,11,53,63,48,68,21,81,59
"247",67,55,77,48,57,80,62,12,53,47,63,63,40,77,57
"248",73,64,73,39,51,68,60,20,53,46,58,63,19,73,56
"249",65,57,81,43,59,83,59,15,57,53,71,53,26,74,52
"250",68,54,81,54,61,74,61,21,58,48,61,79,45,54,53
"251",64,66,75,38,55,69,61,5,70,47,55,43,19,71,55
"252",51,49,84,48,50,65,58,8,73,53,54,61,25,70,40
"253",84,60,74,48,49,87,59,20,61,42,79,67,30,74,49
"254",60,54,74,56,59,79,56,14,81,67,58,51,48,79,52
"255",63,46,86,33,54,80,56,12,61,46,45,71,21,74,47
"256",60,53,72,46,60,87,52,3,58,40,70,70,34,70,64
"257",54,57,71,53,59,89,56,8,47,56,47,53,22,81,49
"258",72,48,75,49,52,93,52,4,59,37,63,69,27,69,48
"259",89,61,79,44,53,82,58,9,69,49,65,68,29,77,43
"260",64,51,80,35,45,70,52,5,44,43,62,55,39,57,47
"261",59,52,84,50,56,70,52,14,48,63,53,74,24,75,49
"262",68,62,81,41,60,92,56,4,54,49,56,59,46,76,51
"263",68,64,81,45,56,68,54,5,60,45,68,53,68,65,46
"264",64,47,89,41,59,68,54,9,67,52,63,60,29,73,54
"265",79,53,81,51,59,90,55,15,61,43,65,68,32,66,57
"266",74,43,82,51,62,82,66,10,49,58,61,52,36,67,60
"267",70,65,78,42,55,81,59,5,55,52,68,73,49,65,55
"268",66,52,75,56,51,69,52,17,55,58,74,69,22,70,53
"269",68,63,77,39,55,89,66,15,53,56,63,56,35,57,60
"270",74,56,72,51,49,84,51,13,56,38,55,64,19,77,44
"271",87,49,77,45,60,71,56,9,57,42,71,66,24,63,50
"272",63,62,63,52,60,74,51,8,51,52,57,59,27,68,49
"273",70,63,74,42,55,64,54,2,63,50,73,50,32,80,49
"274",60,62,78,38,55,75,55,5,66,55,60,62,19,67,44
"275",54,64,81,49,52,87,55,3,65,32,63,65,32,72,47
"276",69,61,73,48,53,74,69,6,57,37,58,61,22,66,45
"277",63,58,74,49,69,85,49,36,51,56,66,51,38,60,44
"278",64,56,75,61,58,79,56,9,61,67,64,56,48,58,47
"279",83,54,85,41,57,83,51,8,57,41,79,58,33,68,52
"280",57,60,81,49,54,77,55,6,58,49,73,59,30,73,53
"281",60,57,78,47,53,62,57,4,68,29,64,58,34,73,59
"282",59,52,66,45,66,79,52,22,60,50,50,67,34,64,47
"283",69,43,75,44,58,64,56,9,67,52,71,50,38,77,57
"284",65,59,75,53,53,75,56,16,65,61,70,75,43,68,55
"285",75,60,90,39,68,58,51,19,63,49,62,57,45,76,58
"286",63,60,80,40,69,75,67,8,60,64,49,50,30,69,41
"287",68,46,74,43,61,72,50,18,64,66,71,51,35,79,43
"288",66,59,65,46,59,74,57,11,66,47,62,61,36,69,52
"289",69,49,85,48,57,62,55,7,63,43,59,76,39,80,50
"290",65,53,84,51,58,65,56,15,53,55,55,56,43,85,52
"291",60,51,69,50,48,68,59,17,63,57,74,69,36,69,55
"292",63,63,67,46,57,89,62,10,64,52,73,68,30,70,47
"293",52,63,71,29,47,84,50,11,57,50,53,57,32,70,48
"294",49,51,74,52,59,69,54,8,61,55,65,62,35,71,48
"295",71,57,82,38,58,91,52,2,65,42,57,67,26,72,50
"296",67,48,89,57,53,85,63,4,63,39,58,72,41,70,52
"297",58,53,82,41,65,76,48,18,53,44,62,73,27,76,45
"298",59,50,71,48,59,95,57,10,67,36,70,57,19,74,55
"299",60,56,67,44,55,82,71,10,65,54,66,61,41,65,44
"300",87,61,82,49,60,102,51,11,52,50,61,63,47,81,56
"301",63,44,70,58,54,98,59,12,56,52,74,61,40,68,46
"302",64,55,81,49,57,68,46,10,51,37,61,63,34,82,62
"303",79,60,77,45,53,77,54,6,51,39,51,59,32,71,54
"304",53,44,70,40,65,68,56,12,45,34,59,46,32,70,54
"305",69,53,67,57,62,77,54,9,59,53,58,50,45,67,56
"306",61,55,73,59,52,74,57,12,57,46,50,76,40,76,48
"307",72,49,77,44,56,71,55,11,74,41,68,65,38,64,51
"308",68,49,81,46,42,83,59,17,55,42,55,62,29,59,52
"309",64,45,73,51,56,80,61,6,69,57,71,61,23,77,57
"310",51,53,74,42,56,71,50,12,62,59,61,53,20,69,38
"311",76,47,74,53,53,84,57,15,71,56,50,68,30,81,47
"312",65,54,80,49,54,89,65,8,73,31,84,64,40,65,54
"313",54,48,93,39,55,74,63,24,61,53,53,59,24,77,55
"314",87,54,77,46,45,81,53,8,90,67,68,54,27,71,47
"315",61,53,77,44,49,71,51,34,71,53,69,52,28,72,54
"316",79,60,64,45,54,61,48,20,52,29,79,59,30,76,57
