"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"630",30,17,49,30,48,42,37
"631",30,15,48,26,45,40,39
"632",18,11,50,26,40,39,30
"633",25,25,49,24,26,42,33
"634",27,11,50,33,38,41,38
"635",36,25,48,30,38,44,37
"636",30,17,47,25,38,43,31
"637",19,21,55,30,45,40,25
"638",27,12,49,28,49,42,40
"639",21,20,49,28,44,46,41
"640",24,17,53,29,45,41,45
"641",28,13,54,34,39,41,39
"642",36,18,50,29,28,44,28
"643",31,11,47,26,45,48,26
"644",22,18,49,25,46,46,37
"645",28,29,45,27,46,43,24
"646",30,15,59,28,42,43,31
"647",33,17,50,26,45,40,36
"648",35,11,44,28,39,45,32
"649",23,21,57,26,41,44,29
"650",32,14,54,26,42,41,36
"651",35,16,52,26,46,46,37
"652",37,16,52,24,54,36,29
"653",37,10,47,25,54,48,35
"654",34,7,57,26,33,44,39
"655",25,23,58,25,46,41,38
"656",16,26,45,31,51,39,38
"657",39,17,52,24,48,44,32
"658",26,14,60,31,40,41,27
"659",17,30,59,30,44,46,31
"660",27,21,57,34,32,47,35
"661",22,18,52,31,48,42,26
"662",28,14,54,28,44,40,39
"663",35,13,52,32,37,44,36
"664",23,11,52,25,34,40,36
"665",37,18,52,30,44,45,27
"666",31,9,52,24,38,43,38
"667",27,24,55,34,37,36,28
"668",21,11,56,24,58,39,31
"669",29,22,52,30,38,34,36
"670",28,21,56,22,39,46,30
"671",25,8,51,36,33,43,32
"672",23,19,52,33,44,41,34
"673",23,15,51,22,46,38,36
"674",29,9,52,25,44,42,25
"675",26,13,52,33,53,48,37
"676",22,23,55,30,47,40,33
"677",36,37,51,27,44,43,29
"678",43,25,55,31,56,38,30
"679",33,8,51,22,38,37,30
"680",45,6,53,26,48,47,28
"681",35,10,46,24,50,43,31
"682",25,22,54,19,44,41,36
"683",20,14,53,28,51,39,35
"684",41,14,49,28,45,42,36
"685",32,19,50,23,57,37,37
"686",30,19,53,26,37,43,41
"687",26,24,49,29,49,45,38
"688",32,32,60,27,25,41,29
"689",31,18,52,30,33,41,36
"690",16,19,56,32,45,45,31
"691",36,16,61,29,45,44,33
"692",27,10,55,26,42,35,30
"693",35,20,58,31,55,49,31
"694",38,13,53,23,44,45,30
"695",29,14,56,27,52,43,30
"696",22,21,47,23,49,43,40
"697",31,13,49,26,41,49,30
"698",22,11,56,23,38,38,40
"699",30,18,52,26,57,40,37
"700",29,20,53,26,43,48,32
"701",21,11,55,30,40,41,36
"702",32,12,57,25,45,37,30
"703",33,7,55,31,45,42,37
"704",39,15,53,27,56,48,28
"705",23,32,48,34,38,46,32
"706",25,16,49,24,41,43,38
"707",41,11,56,32,36,39,36
"708",26,25,49,25,43,40,34
"709",32,15,53,26,36,46,34
"710",26,9,50,27,55,47,34
"711",30,21,55,30,49,41,33
"712",24,27,56,27,70,42,28
"713",23,12,59,29,39,40,37
"714",25,11,49,24,43,39,34
