"","v Afghanistan","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"317",54,30,42,44,31,1,31,29,7,56,13,48,30,26,53
"318",48,36,40,43,49,3,35,33,8,48,9,42,25,22,52
"319",56,36,36,29,44,3,33,30,7,53,10,40,33,23,52
"320",46,37,38,31,30,1,34,32,9,54,10,31,24,17,56
"321",43,32,41,30,33,2,33,27,6,61,12,44,35,19,53
"322",52,24,48,34,38,1,30,33,6,60,11,44,34,18,60
"323",49,27,43,37,31,1,36,33,8,52,10,41,27,22,55
"324",51,26,33,31,38,1,32,30,7,55,8,38,30,20,49
"325",46,32,34,29,31,1,32,30,9,55,10,42,31,22,53
"326",44,30,37,38,26,4,34,27,8,50,13,46,28,26,56
"327",46,23,37,33,36,2,32,30,13,61,12,49,35,23,50
"328",42,38,43,34,34,2,37,27,8,48,8,26,28,20,49
"329",47,33,34,26,49,1,32,34,9,54,12,41,31,19,60
"330",46,23,38,35,42,2,26,33,9,56,11,43,30,26,55
"331",44,27,39,29,36,2,27,35,8,53,13,41,31,19,54
"332",44,37,41,33,33,1,31,34,9,51,10,46,33,26,43
"333",48,31,36,28,28,1,25,35,9,53,8,39,31,21,57
"334",47,30,36,33,24,1,33,26,7,58,10,36,36,25,54
"335",46,42,42,38,34,3,30,29,6,54,13,37,27,27,56
"336",50,39,40,31,37,1,28,33,8,53,9,36,36,23,51
"337",46,37,37,33,36,1,32,34,6,46,12,36,32,21,53
"338",49,30,36,28,36,3,27,34,9,55,10,33,36,19,51
"339",44,29,38,36,42,1,30,28,11,58,12,36,34,23,61
"340",42,38,36,32,33,2,29,35,7,49,7,46,34,22,53
"341",49,30,33,27,33,2,36,29,7,57,8,40,38,18,57
"342",49,31,35,37,33,1,30,31,9,54,10,41,35,23,52
"343",50,22,31,31,42,1,28,26,7,60,15,41,32,20,57
"344",49,28,43,31,27,5,35,32,7,49,10,38,34,29,55
"345",50,27,35,32,33,4,38,26,9,54,10,37,34,26,54
"346",50,51,35,31,35,3,29,30,9,57,9,36,30,24,59
"347",48,27,42,32,40,1,35,35,8,50,12,39,27,28,57
"348",46,34,38,29,38,3,28,27,9,52,14,40,30,24,55
"349",49,37,40,33,34,1,30,32,6,56,10,45,34,21,51
"350",45,28,38,31,32,1,28,30,9,46,8,32,27,21,58
"351",47,39,26,34,41,7,32,30,10,56,12,38,25,20,57
"352",49,32,34,28,43,4,30,27,11,43,11,40,31,17,54
"353",51,32,47,35,38,3,32,28,7,54,12,49,35,22,54
"354",50,28,44,32,37,7,32,32,9,49,11,41,33,23,56
"355",47,33,41,29,31,1,29,33,6,56,9,36,32,23,55
"356",47,36,35,30,29,6,31,30,9,48,9,38,29,17,51
"357",55,26,40,33,29,1,30,31,7,54,11,42,37,19,57
"358",51,31,41,30,43,1,28,35,10,56,12,47,32,21,54
"359",46,30,38,35,30,1,32,32,10,58,10,45,25,22,56
"360",52,41,29,29,29,2,34,33,9,60,6,39,34,23,53
"361",50,34,50,32,39,2,31,27,9,52,12,42,35,22,51
"362",57,32,41,31,39,1,30,34,6,45,9,50,32,26,53
"363",49,25,38,39,29,2,30,33,10,48,11,47,34,26,56
"364",49,37,38,27,38,3,35,29,8,52,9,40,34,20,55
"365",53,34,27,35,34,1,33,27,8,56,11,41,28,15,56
"366",45,23,41,29,31,2,27,27,8,54,8,34,39,22,47
"367",47,28,35,32,38,2,38,36,10,49,9,41,29,21,46
"368",48,35,33,36,29,2,35,27,9,51,14,37,31,20,54
"369",48,37,40,34,40,8,24,33,9,56,11,32,29,27,48
"370",43,34,43,31,38,5,32,33,7,59,10,42,33,21,57
"371",51,36,40,31,36,2,26,29,7,58,12,41,29,24,50
"372",50,37,47,32,38,2,34,23,8,56,10,36,33,24,59
"373",50,23,32,26,40,1,28,26,9,57,12,52,35,25,56
"374",43,34,40,37,38,4,30,33,8,47,11,42,34,22,51
"375",42,27,42,33,35,3,33,31,12,56,10,41,31,22,55
"376",49,39,33,32,34,1,24,23,9,56,11,47,34,21,63
"377",46,42,33,30,32,2,29,28,9,58,9,37,31,28,57
"378",46,29,37,34,40,4,27,31,8,49,9,36,29,20,57
"379",48,54,31,33,37,1,35,29,9,49,13,44,31,21,55
"380",47,37,36,31,26,7,37,31,9,65,11,49,32,22,51
"381",45,31,37,30,28,4,33,29,8,53,12,42,33,27,53
"382",46,29,39,33,27,1,28,36,8,54,10,43,28,15,50
"383",46,37,51,29,28,5,32,31,7,62,10,47,37,26,60
"384",40,26,36,30,27,1,30,33,8,60,13,39,29,18,46
"385",52,26,33,30,36,3,34,29,8,54,10,39,30,19,50
"386",47,34,29,34,42,1,38,22,9,53,10,39,25,27,57
"387",43,42,34,32,28,1,25,28,7,52,11,45,31,23,57
"388",45,32,38,36,29,2,29,29,10,53,11,38,33,23,58
"389",46,29,48,31,30,1,41,29,11,51,11,48,29,24,55
"390",48,29,41,26,28,1,31,30,8,43,13,33,34,19,58
"391",49,26,48,29,27,3,36,32,6,56,12,41,31,21,53
"392",45,39,40,26,30,3,32,31,10,56,11,39,32,24,56
"393",47,28,32,33,36,2,31,30,7,48,9,51,25,23,50
"394",52,29,31,28,35,1,29,32,7,57,11,35,32,21,63
"395",47,33,39,27,34,2,25,30,10,55,9,42,25,22,49
"396",40,37,43,30,34,2,34,28,8,51,11,40,34,22,57
"397",48,38,51,34,23,5,33,30,7,56,8,44,33,24,49
"398",41,31,36,38,34,2,30,34,7,51,12,47,30,23,50
"399",41,36,38,28,32,1,29,33,9,59,10,43,34,20,54
"400",48,38,42,31,25,1,28,32,13,51,9,43,31,20,57
"401",50,36,44,29,31,1,32,32,12,53,12,50,33,24,55
"402",44,28,40,29,34,11,34,29,9,46,13,43,38,21,55
"403",46,35,38,29,29,1,34,31,8,61,15,39,28,21,55
"404",50,24,41,25,38,1,37,29,7,53,9,35,38,22,51
"405",49,33,35,30,45,1,29,33,10,50,12,47,30,20,52
"406",51,32,40,32,35,3,28,37,10,59,11,39,33,27,54
"407",59,31,32,31,49,7,30,35,7,43,10,55,31,16,56
"408",45,40,40,31,34,1,28,34,9,54,14,48,31,28,48
"409",48,33,47,34,44,4,32,38,7,44,15,48,35,20,56
"410",47,32,41,33,34,1,31,30,10,56,13,39,30,20,53
"411",44,37,37,28,41,4,28,30,8,46,12,44,28,20,50
